plane_idx,x_cm,z_cm,weight
3,-0.031070,0.014829,0.945433
4,-0.062140,0.029658,0.945433
0,-0.010234,0.078280,0.928605
1,-0.005117,0.039140,0.928605
2,-0.000000,0.000000,0.928605
3,0.005117,-0.039140,0.928605
4,0.010234,-0.078280,0.928605
0,0.070105,-0.041761,0.923832
1,0.035052,-0.020880,0.923832
2,-0.000000,-0.000000,0.923832
3,-0.035052,0.020880,0.923832
4,-0.070105,0.041761,0.923832
0,-0.005519,0.011373,0.998148
1,-0.002759,0.005687,0.998148
2,0.000000,-0.000000,0.998148
3,0.002759,-0.005687,0.998148
4,0.005519,-0.011373,0.998148
0,-0.059527,0.005057,0.958783
1,-0.029763,0.002529,0.958783
2,-0.000000,-0.000000,0.958783
3,0.029763,-0.002529,0.958783
4,0.059527,-0.005057,0.958783
0,0.060958,0.039468,0.939401
1,0.030479,0.019734,0.939401
2,0.000000,0.000000,0.939401
3,-0.030479,-0.019734,0.939401
4,-0.060958,-0.039468,0.939401
0,-0.002406,0.063162,0.953916
1,-0.001203,0.031581,0.953916
2,0.000000,0.000000,0.953916
3,0.001203,-0.031581,0.953916
4,0.002406,-0.063162,0.953916
0,0.018909,-0.052776,0.963665
1,0.009455,-0.026388,0.963665
2,0.000000,-0.000000,0.963665
3,-0.009455,0.026388,0.963665
4,-0.018909,0.052776,0.963665
0,0.074190,0.041075,0.917888
1,0.037095,0.020538,0.917888
2,0.000000,0.000000,0.917888
3,-0.037095,-0.020538,0.917888
4,-0.074190,-0.041075,0.917888
0,0.064824,-0.068512,0.899043
1,0.032412,-0.034256,0.899043
2,-0.000000,0.000000,0.899043
3,-0.032412,0.034256,0.899043
4,-0.064824,0.068512,0.899043
0,0.065060,0.020039,0.946642
1,0.032530,0.010020,0.946642
2,0.000000,-0.000000,0.946642
3,-0.032530,-0.010020,0.946642
4,-0.065060,-0.020039,0.946642
0,0.039059,-0.031273,0.971011
1,0.019530,-0.015637,0.971011
2,-0.000000,-0.000000,0.971011
3,-0.019530,0.015637,0.971011
4,-0.039059,0.031273,0.971011
0,0.003280,-0.003984,0.999692
1,0.001640,-0.001992,0.999692
2,-0.000000,-0.000000,0.999692
3,-0.001640,0.001992,0.999692
4,-0.003280,0.003984,0.999692
0,-0.080693,0.018270,0.921750
1,-0.040346,0.009135,0.921750
2,-0.000000,-0.000000,0.921750
3,0.040346,-0.009135,0.921750
4,0.080693,-0.018270,0.921750
0,-0.064293,-0.012435,0.950579
1,-0.032146,-0.006217,0.950579
2,0.000000,0.000000,0.950579
3,0.032146,0.006217,0.950579
4,0.064293,0.012435,0.950579
0,0.035697,-0.005548,0.984859
1,0.017849,-0.002774,0.984859
2,0.000000,0.000000,0.984859
3,-0.017849,0.002774,0.984859
4,-0.035697,0.005548,0.984859
0,-0.014600,0.067091,0.945735
1,-0.007300,0.033545,0.945735
2,0.000000,-0.000000,0.945735
3,0.007300,-0.033545,0.945735
4,0.014600,-0.067091,0.945735
0,-0.028527,0.016680,0.987329
1,-0.014263,0.008340,0.987329
2,0.000000,0.000000,0.987329
3,0.014263,-0.008340,0.987329
4,0.028527,-0.016680,0.987329
0,0.017828,0.034646,0.982392
1,0.008914,0.017323,0.982392
2,0.000000,0.000000,0.982392
3,-0.008914,-0.017323,0.982392
4,-0.017828,-0.034646,0.982392
0,-0.037229,0.059509,0.943319
1,-0.018615,0.029755,0.943319
2,0.000000,0.000000,0.943319
3,0.018615,-0.029755,0.943319
4,0.037229,-0.059509,0.943319
0,0.074801,-0.055326,0.901677
1,0.037401,-0.027663,0.901677
2,-0.000000,-0.000000,0.901677
3,-0.037401,0.027663,0.901677
4,-0.074801,0.055326,0.901677
0,-0.088317,-0.001988,0.911085
1,-0.044159,-0.000994,0.911085
2,0.000000,-0.000000,0.911085
3,0.044159,0.000994,0.911085
4,0.088317,0.001988,0.911085
0,-0.060986,0.015787,0.954220
1,-0.030493,0.007893,0.954220
2,-0.000000,0.000000,0.954220
3,0.030493,-0.007893,0.954220
4,0.060986,-0.015787,0.954220
0,0.069196,0.029750,0.934893
1,0.034598,0.014875,0.934893
2,0.000000,0.000000,0.934893
3,-0.034598,-0.014875,0.934893
4,-0.069196,-0.029750,0.934893
0,-0.020684,-0.031366,0.983625
1,-0.010342,-0.015683,0.983625
2,0.000000,0.000000,0.983625
3,0.010342,0.015683,0.983625
4,0.020684,0.031366,0.983625
0,0.016339,-0.008904,0.995985
1,0.008170,-0.004452,0.995985
2,-0.000000,0.000000,0.995985
3,-0.008170,0.004452,0.995985
4,-0.016339,0.008904,0.995985
0,-0.028845,0.054069,0.956652
1,-0.014423,0.027034,0.956652
2,0.000000,-0.000000,0.956652
3,0.014423,-0.027034,0.956652
4,0.028845,-0.054069,0.956652
0,0.047200,0.063910,0.927709
1,0.023600,0.031955,0.927709
2,0.000000,0.000000,0.927709
3,-0.023600,-0.031955,0.927709
4,-0.047200,-0.063910,0.927709
0,0.000774,0.049764,0.971318
1,0.000387,0.024882,0.971318
2,-0.000000,0.000000,0.971318
3,-0.000387,-0.024882,0.971318
4,-0.000774,-0.049764,0.971318
0,0.041582,-0.007445,0.979310
1,0.020791,-0.003723,0.979310
2,0.000000,0.000000,0.979310
3,-0.020791,0.003723,0.979310
4,-0.041582,0.007445,0.979310
0,-0.052651,-0.057218,0.930698
1,-0.026326,-0.028609,0.930698
2,-0.000000,-0.000000,0.930698
3,0.026326,0.028609,0.930698
4,0.052651,0.057218,0.930698
0,-0.083767,-0.017537,0.916407
1,-0.041884,-0.008769,0.916407
2,-0.000000,-0.000000,0.916407
3,0.041884,0.008769,0.916407
4,0.083767,0.017537,0.916407
0,-0.015676,-0.006874,0.996603
1,-0.007838,-0.003437,0.996603
2,0.000000,-0.000000,0.996603
3,0.007838,0.003437,0.996603
4,0.015676,0.006874,0.996603
0,-0.010291,0.083699,0.918779
1,-0.005146,0.041849,0.918779
2,0.000000,-0.000000,0.918779
3,0.005146,-0.041849,0.918779
4,0.010291,-0.083699,0.918779
0,0.032822,-0.008245,0.986711
1,0.016411,-0.004123,0.986711
2,0.000000,-0.000000,0.986711
3,-0.016411,0.004123,0.986711
4,-0.032822,0.008245,0.986711
0,0.075260,-0.043284,0.914040
1,0.037630,-0.021642,0.914040
2,-0.000000,-0.000000,0.914040
3,-0.037630,0.021642,0.914040
4,-0.075260,0.043284,0.914040
0,-0.046661,-0.044171,0.952397
1,-0.023331,-0.022085,0.952397
2,0.000000,-0.000000,0.952397
3,0.023331,0.022085,0.952397
4,0.046661,0.044171,0.952397
0,0.070161,-0.007622,0.942715
1,0.035080,-0.003811,0.942715
2,-0.000000,0.000000,0.942715
3,-0.035080,0.003811,0.942715
4,-0.070161,0.007622,0.942715
0,0.055618,0.022412,0.958479
1,0.027809,0.011206,0.958479
2,-0.000000,-0.000000,0.958479
3,-0.027809,-0.011206,0.958479
4,-0.055618,-0.022412,0.958479
0,-0.024725,-0.001125,0.992892
1,-0.012363,-0.000563,0.992892
2,0.000000,0.000000,0.992892
3,0.012363,0.000563,0.992892
4,0.024725,0.001125,0.992892
0,-0.029904,-0.055925,0.953612
1,-0.014952,-0.027962,0.953612
2,-0.000000,-0.000000,0.953612
3,0.014952,0.027962,0.953612
4,0.029904,0.055925,0.953612
0,0.026091,-0.028002,0.983008
1,0.013046,-0.014001,0.983008
2,-0.000000,0.000000,0.983008
3,-0.013046,0.014001,0.983008
4,-0.026091,0.028002,0.983008
0,-0.030948,0.047029,0.963359
1,-0.015474,0.023515,0.963359
2,-0.000000,0.000000,0.963359
3,0.015474,-0.023515,0.963359
4,0.030948,-0.047029,0.963359
0,0.074484,-0.032108,0.924726
1,0.037242,-0.016054,0.924726
2,-0.000000,-0.000000,0.924726
3,-0.037242,0.016054,0.924726
4,-0.074484,0.032108,0.924726
0,0.000770,0.019973,0.995366
1,0.000385,0.009987,0.995366
2,-0.000000,0.000000,0.995366
3,-0.000385,-0.009987,0.995366
4,-0.000770,-0.019973,0.995366
0,0.043915,-0.072728,0.917592
1,0.021958,-0.036364,0.917592
2,-0.000000,-0.000000,0.917592
3,-0.021958,0.036364,0.917592
4,-0.043915,0.072728,0.917592
0,-0.059760,-0.015409,0.956044
1,-0.029880,-0.007704,0.956044
2,-0.000000,0.000000,0.956044
3,0.029880,0.007704,0.956044
4,0.059760,0.015409,0.956044
0,0.074243,0.001138,0.936694
1,0.037122,0.000569,0.936694
2,0.000000,0.000000,0.936694
3,-0.037122,-0.000569,0.936694
4,-0.074243,-0.001138,0.936694
0,-0.027080,0.085656,0.908139
1,-0.013540,0.042828,0.908139
2,-0.000000,-0.000000,0.908139
3,0.013540,-0.042828,0.908139
4,0.027080,-0.085656,0.908139
0,-0.048974,0.011483,0.970705
1,-0.024487,0.005742,0.970705
2,-0.000000,0.000000,0.970705
3,0.024487,-0.005742,0.970705
4,0.048974,-0.011483,0.970705
0,0.037251,0.017040,0.980543
1,0.018625,0.008520,0.980543
2,0.000000,0.000000,0.980543
3,-0.018625,-0.008520,0.980543
4,-0.037251,-0.017040,0.980543
0,0.080623,0.018213,0.921898
1,0.040311,0.009107,0.921898
2,0.000000,0.000000,0.921898
3,-0.040311,-0.009107,0.921898
4,-0.080623,-0.018213,0.921898
0,-0.020345,0.036111,0.980080
1,-0.010172,0.018056,0.980080
2,0.000000,-0.000000,0.980080
3,0.010172,-0.018056,0.980080
4,0.020345,-0.036111,0.980080
0,0.055153,0.035113,0.950729
1,0.027577,0.017557,0.950729
2,0.000000,0.000000,0.950729
3,-0.027577,-0.017557,0.950729
4,-0.055153,-0.035113,0.950729
0,-0.037592,0.049351,0.955588
1,-0.018796,0.024675,0.955588
2,-0.000000,-0.000000,0.955588
3,0.018796,-0.024675,0.955588
4,0.037592,-0.049351,0.955588
0,0.043683,-0.015357,0.975157
1,0.021842,-0.007678,0.975157
2,-0.000000,-0.000000,0.975157
3,-0.021842,0.007678,0.975157
4,-0.043683,0.015357,0.975157
0,-0.034102,-0.011350,0.985014
1,-0.017051,-0.005675,0.985014
2,-0.000000,0.000000,0.985014
3,0.017051,0.005675,0.985014
4,0.034102,0.011350,0.985014
0,-0.014644,-0.066982,0.945885
1,-0.007322,-0.033491,0.945885
2,0.000000,-0.000000,0.945885
3,0.007322,0.033491,0.945885
4,0.014644,0.066982,0.945885
0,0.054098,0.008355,0.965346
1,0.027049,0.004177,0.965346
2,-0.000000,0.000000,0.965346
3,-0.027049,-0.004177,0.965346
4,-0.054098,-0.008355,0.965346
0,-0.030217,0.031905,0.977617
1,-0.015108,0.015953,0.977617
2,0.000000,-0.000000,0.977617
3,0.015108,-0.015953,0.977617
4,0.030217,-0.031905,0.977617
0,0.083508,0.042140,0.900653
1,0.041754,0.021070,0.900653
2,0.000000,0.000000,0.900653
3,-0.041754,-0.021070,0.900653
4,-0.083508,-0.042140,0.900653
0,-0.004507,0.032533,0.987484
1,-0.002254,0.016266,0.987484
2,0.000000,0.000000,0.987484
3,0.002254,-0.016266,0.987484
4,0.004507,-0.032533,0.987484
0,0.005208,-0.052499,0.967795
1,0.002604,-0.026250,0.967795
2,0.000000,0.000000,0.967795
3,-0.002604,0.026250,0.967795
4,-0.005208,0.052499,0.967795
0,0.005976,0.086228,0.914779
1,0.002988,0.043114,0.914779
2,-0.000000,-0.000000,0.914779
3,-0.002988,-0.043114,0.914779
4,-0.005976,-0.086228,0.914779
0,0.063241,-0.019545,0.949518
1,0.031620,-0.009773,0.949518
2,-0.000000,0.000000,0.949518
3,-0.031620,0.009773,0.949518
4,-0.063241,0.019545,0.949518
0,0.007124,0.051245,0.969019
1,0.003562,0.025622,0.969019
2,0.000000,-0.000000,0.969019
3,-0.003562,-0.025622,0.969019
4,-0.007124,-0.051245,0.969019
0,-0.045225,-0.058322,0.937446
1,-0.022613,-0.029161,0.937446
2,-0.000000,-0.000000,0.937446
3,0.022613,0.029161,0.937446
4,0.045225,0.058322,0.937446
0,0.065876,0.039156,0.932645
1,0.032938,0.019578,0.932645
2,0.000000,-0.000000,0.932645
3,-0.032938,-0.019578,0.932645
4,-0.065876,-0.039156,0.932645
0,-0.018835,0.089861,0.904169
1,-0.009418,0.044931,0.904169
2,-0.000000,-0.000000,0.904169
3,0.009418,-0.044931,0.904169
4,0.018835,-0.089861,0.904169
0,0.050253,-0.049953,0.942263
1,0.025126,-0.024976,0.942263
2,-0.000000,0.000000,0.942263
3,-0.025126,0.024976,0.942263
4,-0.050253,0.049953,0.942263
0,-0.041343,0.070823,0.923088
1,-0.020672,0.035412,0.923088
2,0.000000,0.000000,0.923088
3,0.020672,-0.035412,0.923088
4,0.041343,-0.070823,0.923088
0,0.030299,0.000929,0.989337
1,0.015149,0.000464,0.989337
2,0.000000,-0.000000,0.989337
3,-0.015149,-0.000464,0.989337
4,-0.030299,-0.000929,0.989337
0,0.014290,-0.049186,0.969633
1,0.007145,-0.024593,0.969633
2,0.000000,-0.000000,0.969633
3,-0.007145,0.024593,0.969633
4,-0.014290,0.049186,0.969633
0,0.062255,0.029640,0.945282
1,0.031128,0.014820,0.945282
2,0.000000,0.000000,0.945282
3,-0.031128,-0.014820,0.945282
4,-0.062255,-0.029640,0.945282
0,-0.016731,-0.082572,0.918927
1,-0.008365,-0.041286,0.918927
2,0.000000,-0.000000,0.918927
3,0.008365,0.041286,0.918927
4,0.016731,0.082572,0.918927
0,0.032075,0.083196,0.909465
1,0.016038,0.041598,0.909465
2,0.000000,-0.000000,0.909465
3,-0.016038,-0.041598,0.909465
4,-0.032075,-0.083196,0.909465
0,0.019683,-0.017844,0.991810
1,0.009841,-0.008922,0.991810
2,0.000000,0.000000,0.991810
3,-0.009841,0.008922,0.991810
4,-0.019683,0.017844,0.991810
0,-0.001804,0.039432,0.981929
1,-0.000902,0.019716,0.981929
2,0.000000,-0.000000,0.981929
3,0.000902,-0.019716,0.981929
4,0.001804,-0.039432,0.981929
0,-0.066524,-0.023279,0.942866
1,-0.033262,-0.011639,0.942866
2,-0.000000,0.000000,0.942866
3,0.033262,0.011639,0.942866
4,0.066524,0.023279,0.942866
0,-0.031827,0.077321,0.920114
1,-0.015914,0.038661,0.920114
2,-0.000000,-0.000000,0.920114
3,0.015914,-0.038661,0.920114
4,0.031827,-0.077321,0.920114
0,0.020619,-0.056189,0.958631
1,0.010309,-0.028094,0.958631
2,-0.000000,0.000000,0.958631
3,-0.010309,0.028095,0.958631
4,-0.020619,0.056189,0.958631
0,-0.042708,-0.082899,0.901239
1,-0.021354,-0.041449,0.901239
2,0.000000,0.000000,0.901239
3,0.021354,0.041449,0.901239
4,0.042708,0.082899,0.901239
0,-0.052372,0.050439,0.939251
1,-0.026186,0.025220,0.939251
2,0.000000,-0.000000,0.939251
3,0.026186,-0.025220,0.939251
4,0.052372,-0.050439,0.939251
0,-0.051694,0.007604,0.968406
1,-0.025847,0.003802,0.968406
2,-0.000000,-0.000000,0.968406
3,0.025847,-0.003802,0.968406
4,0.051694,-0.007604,0.968406
0,0.023340,0.007385,0.993047
1,0.011670,0.003693,0.993047
2,0.000000,-0.000000,0.993047
3,-0.011670,-0.003693,0.993047
