x,y,z,dx,dy,dz,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
-0.0097862919714,-0.0273686220864,4.03,0.0228519540466,0.0576414294086,0.998075775586,0.615589453859,0.340701013416,0.449429907827,0.499114863641,0.522854769223,0.522973383148,0.449202412738,0.049494910232,0.000641789409953,1.21273061137e-05,8.73180495747e-07,1.91098691879e-08,7.92556581749e-11,3.36376134047e-13,3.86688997573e-15,1.27123142606e-17,5.49142165898e-20,6.25070602411e-22,1.36608663243e-23,4.41569005563e-25,1.43177128429e-26,5.9085383331e-29,1.98427417944e-31,9.78967173934e-34,4.62410697975e-36
-0.055044203493,0.0505655941263,4.03,0.103988297138,-0.100605892472,0.989477078288,0.0734931811258,0.00223300501088,0.00585240645387,0.000106338708934,9.06347496592e-13,1.08338103273e-25,2.10394559514e-39,5.89921731623e-55,4.39205773437e-71,2.2813414642e-84,3.2158182428e-96,3.46750371459e-106,3.89908839675e-115,2.10273112604e-123,2.71195861727e-132,7.38573604542e-140,9.80676586857e-147,4.02501962571e-153,4.04056623822e-159,8.50170943615e-165,3.34813246218e-170,2.26126594182e-175,2.44186569138e-180,3.98182056987e-185,9.3441842499e-190
-0.0011019741171,-0.0654610251277,4.03,0.00691334598731,0.128506441336,0.991684576961,0.322387542981,0.0768143917587,0.136004059579,0.150881495795,0.0472387755891,1.66554406929e-05,5.56460319111e-10,7.18346603192e-15,2.5095889628e-19,3.70941202721e-26,7.22675316068e-32,7.61685756253e-38,4.80860593714e-44,2.52833597807e-49,6.15813867205e-54,1.88954876612e-58,2.68935160188e-62,2.61668421197e-66,3.07175389098e-70,1.04198906042e-73,2.35539201527e-77,1.57345904365e-80,7.21577371682e-84,6.55122159053e-87,9.72616551423e-90
0.0302025695761,0.0506807989668,4.03,-0.0565715116237,-0.109153901294,0.992413769506,0.185160645867,0.0209157923205,0.0456123059474,0.0376214432884,4.36260176848e-05,1.02447073747e-10,1.08434779677e-17,1.12954264442e-26,1.21457791224e-37,3.28985791269e-47,4.5845308406e-57,1.49668616022e-65,5.47128383906e-73,2.07355814448e-79,6.44893885468e-86,1.46721323513e-91,1.19813751834e-96,2.37201105669e-101,1.33261126646e-106,2.81484170155e-111,1.43769125467e-115,1.33300238655e-119,1.09533948787e-123,1.20023312977e-127,2.43586895098e-131
0.0401421571443,0.0323272819916,4.03,-0.0878495761983,-0.0678760493824,0.993818541728,0.190096750095,0.0225974934711,0.0502614315048,0.0524494851808,0.00154165427904,2.5144563466e-09,7.32327352191e-17,1.58980056572e-26,3.70814058904e-35,3.20357721003e-45,8.45961736763e-56,1.13208328579e-63,1.0144553479e-70,7.88429874432e-77,7.68551156939e-83,1.39501254457e-88,1.42696831989e-93,1.27141970986e-98,3.67185714419e-103,2.27869012529e-107,2.50688697279e-111,4.11372123595e-115,1.18887972794e-119,1.63984092569e-123,3.92216582786e-127
0.00101932023666,-0.0535299311842,4.03,0.000183715581673,0.107480507347,0.994207174984,0.546945715089,0.261507287073,0.367871148013,0.41747207115,0.440437549085,0.439322982657,0.385055175769,0.0319589226805,0.000180421354087,1.88008157303e-06,4.41524822965e-09,1.25474907552e-11,3.41347713091e-14,2.45463068452e-17,1.03236661883e-20,4.34462913561e-25,2.46610606297e-29,8.16799522609e-34,2.16124729841e-38,7.51320925984e-42,7.17676395888e-45,1.34510222375e-47,4.18032191521e-50,1.94310014381e-52,1.25891690299e-54
-0.0373886270985,0.0794219422572,4.03,0.0749168863017,-0.160902331842,0.984122908866,0.327362477121,0.0826972353363,0.153418664607,0.18999927611,0.202843002283,0.169828952935,0.0123605295981,0.000104555583613,2.06839261137e-08,1.0549472607e-15,2.28056407765e-23,3.51002174073e-31,3.40759433331e-38,5.48981023831e-45,2.18333861211e-50,5.78627088874e-56,4.09700358461e-61,3.40113018626e-66,6.5154965239e-71,7.05234850484e-76,1.4629951068e-80,1.14903283853e-84,2.03335498192e-88,1.94048754436e-92,2.44915131271e-96
0.0626539415944,-0.0555653600922,4.03,-0.126372065692,0.106675253512,0.986230445333,0.341211800304,0.0918805143793,0.169489806968,0.211413699895,0.205633958449,0.027122218676,0.000959778345656,7.077053072e-06,2.95469718133e-07,2.40297059052e-08,8.49338945558e-10,5.47654760464e-14,5.6412532903e-18,1.53817363614e-23,1.23087865759e-28,9.85216213555e-34,5.57573818448e-38,1.86689487619e-42,7.31175042112e-47,1.08133989321e-50,5.26582087594e-54,5.17674959053e-57,8.57314326534e-60,2.1469711996e-62,4.34742053658e-65
0.00887736296667,0.0543051280851,4.03,-0.0198759194367,-0.110356466397,0.993693311918,0.345045977064,0.0900988568402,0.155408386029,0.174935364883,0.0791124390528,0.000268509655336,5.82157587754e-08,1.02071611364e-12,4.56167937778e-19,1.57234008544e-24,1.97263691177e-29,7.08801372606e-36,7.54771873522e-41,2.28518572654e-46,5.53897056289e-52,2.15648841315e-56,1.19390607819e-60,5.34580644572e-65,1.10613859064e-68,4.8166000198e-72,1.45576139632e-75,9.35595260494e-79,1.04635904439e-81,1.73740922949e-84,3.97555133537e-87
0.07151180188,0.023342554349,4.03,-0.13715160433,-0.0444778141176,0.989550989834,0.226368602167,0.0336220267861,0.0678026205437,0.0421583448125,7.24741297185e-05,5.83549566558e-10,1.2166615145e-13,2.32826367801e-19,1.41952582922e-25,6.024954987e-33,2.64597903357e-40,2.05443101339e-46,2.2006763248e-52,5.6040725249e-58,9.27725823236e-66,6.27036045245e-73,4.31956804649e-79,1.6738476856e-84,1.42546264183e-89,4.20616560524e-94,2.7280823007e-98,3.26491369979e-102,6.46005176312e-106,1.95448800982e-109,8.51654289772e-113
